Date,RH120 X [km],RH120 Y [km],RH120 Z [km],L2 X [km],L2 Y [km],L2 Z [km],,X-X,Y-Y,Z-Z,mag
,,,,,,,,,,,
,,,,,,,,,,,
2027-Dec-20 ,-3.67E+07,1.49E+06,1.22E+06,-4.30E+05,5.66E+04,-3.03E+04,,-3.63E+07,1.44E+06,1.25E+06,3.63E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Dec-21 ,-3.66E+07,9.16E+05,1.24E+06,-4.34E+05,-4.86E+04,-3.58E+04,,-3.62E+07,9.65E+05,1.27E+06,3.62E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Dec-22 ,-3.65E+07,3.41E+05,1.25E+06,-4.14E+05,-1.51E+05,-3.92E+04,,-3.61E+07,4.92E+05,1.29E+06,3.62E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Dec-23 ,-3.64E+07,-2.30E+05,1.27E+06,-3.71E+05,-2.45E+05,-4.05E+04,,-3.61E+07,1.53E+04,1.31E+06,3.61E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Dec-24 ,-3.63E+07,-7.97E+05,1.29E+06,-3.08E+05,-3.27E+05,-3.96E+04,,-3.60E+07,-4.70E+05,1.32E+06,3.60E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Dec-25 ,-3.62E+07,-1.36E+06,1.30E+06,-2.29E+05,-3.91E+05,-3.67E+04,,-3.60E+07,-9.68E+05,1.34E+06,3.60E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Dec-26 ,-3.61E+07,-1.92E+06,1.32E+06,-1.38E+05,-4.36E+05,-3.18E+04,,-3.59E+07,-1.48E+06,1.35E+06,3.60E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Dec-27 ,-3.59E+07,-2.47E+06,1.33E+06,-4.01E+04,-4.60E+05,-2.54E+04,,-3.59E+07,-2.01E+06,1.36E+06,3.60E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Dec-28 ,-3.58E+07,-3.02E+06,1.35E+06,5.97E+04,-4.62E+05,-1.78E+04,,-3.58E+07,-2.56E+06,1.36E+06,3.59E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Dec-29 ,-3.56E+07,-3.56E+06,1.36E+06,1.57E+05,-4.42E+05,-9.24E+03,,-3.58E+07,-3.12E+06,1.37E+06,3.59E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Dec-30 ,-3.54E+07,-4.10E+06,1.37E+06,2.47E+05,-4.02E+05,-3.00E+02,,-3.57E+07,-3.70E+06,1.38E+06,3.59E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Dec-31 ,-3.52E+07,-4.63E+06,1.39E+06,3.25E+05,-3.43E+05,8.66E+03,,-3.56E+07,-4.29E+06,1.38E+06,3.59E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-01 ,-3.51E+07,-5.16E+06,1.40E+06,3.89E+05,-2.70E+05,1.72E+04,,-3.54E+07,-4.89E+06,1.38E+06,3.58E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-02 ,-3.49E+07,-5.68E+06,1.41E+06,4.35E+05,-1.85E+05,2.50E+04,,-3.53E+07,-5.49E+06,1.39E+06,3.57E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-03 ,-3.46E+07,-6.19E+06,1.43E+06,4.62E+05,-9.10E+04,3.17E+04,,-3.51E+07,-6.10E+06,1.40E+06,3.57E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-04 ,-3.44E+07,-6.70E+06,1.44E+06,4.67E+05,6.55E+03,3.68E+04,,-3.49E+07,-6.70E+06,1.40E+06,3.56E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-05 ,-3.42E+07,-7.20E+06,1.45E+06,4.50E+05,1.04E+05,4.03E+04,,-3.46E+07,-7.30E+06,1.41E+06,3.54E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-06 ,-3.40E+07,-7.69E+06,1.46E+06,4.12E+05,1.96E+05,4.18E+04,,-3.44E+07,-7.89E+06,1.42E+06,3.53E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-07 ,-3.37E+07,-8.18E+06,1.47E+06,3.53E+05,2.78E+05,4.13E+04,,-3.41E+07,-8.46E+06,1.43E+06,3.51E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-08 ,-3.35E+07,-8.67E+06,1.48E+06,2.76E+05,3.46E+05,3.85E+04,,-3.37E+07,-9.01E+06,1.44E+06,3.50E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-09 ,-3.32E+07,-9.14E+06,1.49E+06,1.84E+05,3.95E+05,3.37E+04,,-3.34E+07,-9.54E+06,1.46E+06,3.48E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-10 ,-3.29E+07,-9.61E+06,1.50E+06,8.05E+04,4.22E+05,2.69E+04,,-3.30E+07,-1.00E+07,1.48E+06,3.45E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-11 ,-3.27E+07,-1.01E+07,1.51E+06,-2.75E+04,4.24E+05,1.86E+04,,-3.26E+07,-1.05E+07,1.49E+06,3.43E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-12 ,-3.24E+07,-1.05E+07,1.52E+06,-1.34E+05,3.99E+05,9.02E+03,,-3.23E+07,-1.09E+07,1.51E+06,3.41E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-13 ,-3.21E+07,-1.10E+07,1.53E+06,-2.32E+05,3.50E+05,-1.10E+03,,-3.19E+07,-1.13E+07,1.53E+06,3.39E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-14 ,-3.18E+07,-1.14E+07,1.54E+06,-3.15E+05,2.78E+05,-1.11E+04,,-3.15E+07,-1.17E+07,1.55E+06,3.36E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-15 ,-3.15E+07,-1.18E+07,1.54E+06,-3.77E+05,1.88E+05,-2.05E+04,,-3.11E+07,-1.20E+07,1.56E+06,3.34E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-16 ,-3.12E+07,-1.23E+07,1.55E+06,-4.16E+05,8.67E+04,-2.85E+04,,-3.08E+07,-1.24E+07,1.58E+06,3.32E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-17 ,-3.09E+07,-1.27E+07,1.56E+06,-4.29E+05,-1.99E+04,-3.47E+04,,-3.04E+07,-1.27E+07,1.59E+06,3.30E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-18 ,-3.05E+07,-1.31E+07,1.56E+06,-4.17E+05,-1.25E+05,-3.89E+04,,-3.01E+07,-1.30E+07,1.60E+06,3.28E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-19 ,-3.02E+07,-1.35E+07,1.57E+06,-3.81E+05,-2.23E+05,-4.09E+04,,-2.98E+07,-1.33E+07,1.61E+06,3.27E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-20 ,-2.99E+07,-1.39E+07,1.57E+06,-3.23E+05,-3.09E+05,-4.06E+04,,-2.96E+07,-1.36E+07,1.61E+06,3.26E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-21 ,-2.95E+07,-1.43E+07,1.58E+06,-2.48E+05,-3.78E+05,-3.81E+04,,-2.93E+07,-1.39E+07,1.62E+06,3.25E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-22 ,-2.92E+07,-1.47E+07,1.58E+06,-1.61E+05,-4.29E+05,-3.37E+04,,-2.90E+07,-1.42E+07,1.62E+06,3.24E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-23 ,-2.88E+07,-1.50E+07,1.59E+06,-6.52E+04,-4.58E+05,-2.76E+04,,-2.88E+07,-1.46E+07,1.61E+06,3.23E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-24 ,-2.85E+07,-1.54E+07,1.59E+06,3.38E+04,-4.65E+05,-2.01E+04,,-2.85E+07,-1.49E+07,1.61E+06,3.22E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-25 ,-2.81E+07,-1.57E+07,1.59E+06,1.31E+05,-4.51E+05,-1.18E+04,,-2.82E+07,-1.53E+07,1.60E+06,3.22E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-26 ,-2.77E+07,-1.61E+07,1.60E+06,2.23E+05,-4.16E+05,-2.83E+03,,-2.80E+07,-1.57E+07,1.60E+06,3.21E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-27 ,-2.74E+07,-1.64E+07,1.60E+06,3.05E+05,-3.62E+05,6.24E+03,,-2.77E+07,-1.60E+07,1.59E+06,3.20E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-28 ,-2.70E+07,-1.67E+07,1.60E+06,3.73E+05,-2.92E+05,1.50E+04,,-2.74E+07,-1.64E+07,1.58E+06,3.20E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-29 ,-2.66E+07,-1.70E+07,1.60E+06,4.25E+05,-2.10E+05,2.31E+04,,-2.70E+07,-1.68E+07,1.58E+06,3.19E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-30 ,-2.62E+07,-1.73E+07,1.60E+06,4.58E+05,-1.18E+05,3.02E+04,,-2.67E+07,-1.72E+07,1.57E+06,3.18E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Jan-31 ,-2.58E+07,-1.76E+07,1.60E+06,4.70E+05,-2.12E+04,3.59E+04,,-2.63E+07,-1.76E+07,1.57E+06,3.17E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-01 ,-2.55E+07,-1.79E+07,1.60E+06,4.61E+05,7.63E+04,3.99E+04,,-2.59E+07,-1.80E+07,1.56E+06,3.16E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-02 ,-2.51E+07,-1.82E+07,1.60E+06,4.31E+05,1.70E+05,4.21E+04,,-2.55E+07,-1.84E+07,1.56E+06,3.15E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-03 ,-2.47E+07,-1.85E+07,1.60E+06,3.80E+05,2.56E+05,4.23E+04,,-2.50E+07,-1.87E+07,1.56E+06,3.13E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-04 ,-2.43E+07,-1.87E+07,1.60E+06,3.10E+05,3.28E+05,4.04E+04,,-2.46E+07,-1.91E+07,1.56E+06,3.11E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-05 ,-2.39E+07,-1.90E+07,1.60E+06,2.24E+05,3.84E+05,3.64E+04,,-2.41E+07,-1.94E+07,1.56E+06,3.09E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-06 ,-2.35E+07,-1.92E+07,1.60E+06,1.26E+05,4.19E+05,3.04E+04,,-2.36E+07,-1.96E+07,1.57E+06,3.07E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-07 ,-2.30E+07,-1.95E+07,1.59E+06,2.14E+04,4.31E+05,2.27E+04,,-2.31E+07,-1.99E+07,1.57E+06,3.05E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-08 ,-2.26E+07,-1.97E+07,1.59E+06,-8.51E+04,4.17E+05,1.37E+04,,-2.25E+07,-2.01E+07,1.58E+06,3.02E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-09 ,-2.22E+07,-1.99E+07,1.59E+06,-1.87E+05,3.77E+05,3.77E+03,,-2.20E+07,-2.03E+07,1.58E+06,3.00E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-10 ,-2.18E+07,-2.01E+07,1.58E+06,-2.76E+05,3.13E+05,-6.36E+03,,-2.15E+07,-2.04E+07,1.59E+06,2.97E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-11 ,-2.14E+07,-2.03E+07,1.58E+06,-3.48E+05,2.29E+05,-1.61E+04,,-2.10E+07,-2.05E+07,1.59E+06,2.94E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-12 ,-2.10E+07,-2.05E+07,1.57E+06,-3.97E+05,1.30E+05,-2.47E+04,,-2.06E+07,-2.06E+07,1.60E+06,2.92E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-13 ,-2.06E+07,-2.07E+07,1.57E+06,-4.20E+05,2.22E+04,-3.17E+04,,-2.01E+07,-2.07E+07,1.60E+06,2.89E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-14 ,-2.01E+07,-2.08E+07,1.56E+06,-4.17E+05,-8.65E+04,-3.67E+04,,-1.97E+07,-2.07E+07,1.60E+06,2.87E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-15 ,-1.97E+07,-2.10E+07,1.56E+06,-3.88E+05,-1.90E+05,-3.95E+04,,-1.93E+07,-2.08E+07,1.60E+06,2.84E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-16 ,-1.93E+07,-2.11E+07,1.55E+06,-3.37E+05,-2.82E+05,-3.99E+04,,-1.90E+07,-2.09E+07,1.59E+06,2.82E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-17 ,-1.89E+07,-2.13E+07,1.54E+06,-2.67E+05,-3.58E+05,-3.81E+04,,-1.86E+07,-2.09E+07,1.58E+06,2.81E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-18 ,-1.85E+07,-2.14E+07,1.54E+06,-1.82E+05,-4.15E+05,-3.43E+04,,-1.83E+07,-2.10E+07,1.57E+06,2.79E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-19 ,-1.80E+07,-2.16E+07,1.53E+06,-8.83E+04,-4.51E+05,-2.86E+04,,-1.80E+07,-2.11E+07,1.56E+06,2.77E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-20 ,-1.76E+07,-2.17E+07,1.52E+06,1.01E+04,-4.65E+05,-2.16E+04,,-1.76E+07,-2.12E+07,1.54E+06,2.76E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-21 ,-1.72E+07,-2.18E+07,1.51E+06,1.08E+05,-4.56E+05,-1.36E+04,,-1.73E+07,-2.13E+07,1.52E+06,2.75E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-22 ,-1.68E+07,-2.19E+07,1.50E+06,2.01E+05,-4.27E+05,-4.87E+03,,-1.70E+07,-2.14E+07,1.51E+06,2.74E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-23 ,-1.64E+07,-2.20E+07,1.49E+06,2.86E+05,-3.78E+05,4.04E+03,,-1.67E+07,-2.16E+07,1.49E+06,2.73E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-24 ,-1.59E+07,-2.20E+07,1.48E+06,3.58E+05,-3.12E+05,1.28E+04,,-1.63E+07,-2.17E+07,1.47E+06,2.72E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-25 ,-1.55E+07,-2.21E+07,1.47E+06,4.14E+05,-2.32E+05,2.09E+04,,-1.59E+07,-2.19E+07,1.45E+06,2.71E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-26 ,-1.51E+07,-2.22E+07,1.46E+06,4.52E+05,-1.42E+05,2.82E+04,,-1.56E+07,-2.20E+07,1.43E+06,2.70E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-27 ,-1.47E+07,-2.22E+07,1.45E+06,4.69E+05,-4.58E+04,3.41E+04,,-1.52E+07,-2.22E+07,1.42E+06,2.69E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-28 ,-1.43E+07,-2.23E+07,1.44E+06,4.66E+05,5.24E+04,3.85E+04,,-1.48E+07,-2.23E+07,1.40E+06,2.68E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Feb-29 ,-1.39E+07,-2.23E+07,1.43E+06,4.42E+05,1.48E+05,4.11E+04,,-1.43E+07,-2.25E+07,1.39E+06,2.67E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-01 ,-1.35E+07,-2.24E+07,1.42E+06,3.97E+05,2.37E+05,4.18E+04,,-1.39E+07,-2.26E+07,1.38E+06,2.65E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-02 ,-1.31E+07,-2.24E+07,1.41E+06,3.33E+05,3.14E+05,4.05E+04,,-1.34E+07,-2.27E+07,1.36E+06,2.64E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-03 ,-1.27E+07,-2.24E+07,1.39E+06,2.54E+05,3.75E+05,3.71E+04,,-1.29E+07,-2.28E+07,1.36E+06,2.62E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-04 ,-1.23E+07,-2.24E+07,1.38E+06,1.61E+05,4.17E+05,3.19E+04,,-1.24E+07,-2.28E+07,1.35E+06,2.60E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-05 ,-1.19E+07,-2.24E+07,1.37E+06,5.93E+04,4.37E+05,2.49E+04,,-1.19E+07,-2.28E+07,1.34E+06,2.58E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-06 ,-1.15E+07,-2.24E+07,1.35E+06,-4.53E+04,4.32E+05,1.66E+04,,-1.14E+07,-2.28E+07,1.34E+06,2.56E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-07 ,-1.11E+07,-2.24E+07,1.34E+06,-1.47E+05,4.02E+05,7.32E+03,,-1.10E+07,-2.28E+07,1.33E+06,2.53E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-08 ,-1.07E+07,-2.24E+07,1.32E+06,-2.41E+05,3.48E+05,-2.41E+03,,-1.05E+07,-2.27E+07,1.33E+06,2.50E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-09 ,-1.03E+07,-2.23E+07,1.31E+06,-3.19E+05,2.72E+05,-1.20E+04,,-1.00E+07,-2.26E+07,1.32E+06,2.48E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-10 ,-9.95E+06,-2.23E+07,1.29E+06,-3.77E+05,1.79E+05,-2.08E+04,,-9.58E+06,-2.25E+07,1.31E+06,2.45E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-11 ,-9.58E+06,-2.23E+07,1.28E+06,-4.11E+05,7.33E+04,-2.82E+04,,-9.16E+06,-2.23E+07,1.31E+06,2.42E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-12 ,-9.20E+06,-2.22E+07,1.26E+06,-4.18E+05,-3.67E+04,-3.38E+04,,-8.78E+06,-2.22E+07,1.29E+06,2.39E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-13 ,-8.83E+06,-2.22E+07,1.24E+06,-3.98E+05,-1.44E+05,-3.72E+04,,-8.43E+06,-2.20E+07,1.28E+06,2.36E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-14 ,-8.46E+06,-2.21E+07,1.23E+06,-3.54E+05,-2.43E+05,-3.83E+04,,-8.11E+06,-2.19E+07,1.27E+06,2.33E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-15 ,-8.10E+06,-2.20E+07,1.21E+06,-2.89E+05,-3.27E+05,-3.71E+04,,-7.81E+06,-2.17E+07,1.25E+06,2.31E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-16 ,-7.74E+06,-2.20E+07,1.19E+06,-2.08E+05,-3.93E+05,-3.38E+04,,-7.53E+06,-2.16E+07,1.23E+06,2.29E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-17 ,-7.39E+06,-2.19E+07,1.18E+06,-1.16E+05,-4.37E+05,-2.87E+04,,-7.27E+06,-2.14E+07,1.21E+06,2.27E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-18 ,-7.04E+06,-2.18E+07,1.16E+06,-1.76E+04,-4.59E+05,-2.20E+04,,-7.02E+06,-2.13E+07,1.18E+06,2.25E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-19 ,-6.69E+06,-2.17E+07,1.14E+06,8.16E+04,-4.57E+05,-1.43E+04,,-6.77E+06,-2.12E+07,1.16E+06,2.23E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-20 ,-6.35E+06,-2.16E+07,1.12E+06,1.77E+05,-4.34E+05,-5.88E+03,,-6.53E+06,-2.12E+07,1.13E+06,2.22E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-21 ,-6.01E+06,-2.15E+07,1.10E+06,2.64E+05,-3.91E+05,2.81E+03,,-6.28E+06,-2.11E+07,1.10E+06,2.20E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-22 ,-5.68E+06,-2.14E+07,1.09E+06,3.40E+05,-3.30E+05,1.14E+04,,-6.02E+06,-2.11E+07,1.07E+06,2.19E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-23 ,-5.35E+06,-2.13E+07,1.07E+06,4.00E+05,-2.54E+05,1.94E+04,,-5.75E+06,-2.10E+07,1.05E+06,2.18E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-24 ,-5.03E+06,-2.11E+07,1.05E+06,4.43E+05,-1.66E+05,2.66E+04,,-5.47E+06,-2.10E+07,1.02E+06,2.17E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-25 ,-4.71E+06,-2.10E+07,1.03E+06,4.66E+05,-7.10E+04,3.26E+04,,-5.18E+06,-2.09E+07,9.94E+05,2.16E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-26 ,-4.40E+06,-2.09E+07,1.01E+06,4.68E+05,2.75E+04,3.70E+04,,-4.87E+06,-2.09E+07,9.70E+05,2.15E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-27 ,-4.10E+06,-2.08E+07,9.87E+05,4.49E+05,1.25E+05,3.98E+04,,-4.55E+06,-2.09E+07,9.47E+05,2.14E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-28 ,-3.80E+06,-2.06E+07,9.66E+05,4.09E+05,2.16E+05,4.07E+04,,-4.20E+06,-2.08E+07,9.25E+05,2.13E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-29 ,-3.50E+06,-2.05E+07,9.45E+05,3.50E+05,2.97E+05,3.96E+04,,-3.85E+06,-2.08E+07,9.06E+05,2.11E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-30 ,-3.21E+06,-2.03E+07,9.24E+05,2.74E+05,3.63E+05,3.66E+04,,-3.48E+06,-2.07E+07,8.88E+05,2.10E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Mar-31 ,-2.92E+06,-2.02E+07,9.03E+05,1.85E+05,4.12E+05,3.18E+04,,-3.11E+06,-2.06E+07,8.71E+05,2.08E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Apr-01 ,-2.65E+06,-2.00E+07,8.81E+05,8.58E+04,4.38E+05,2.53E+04,,-2.73E+06,-2.04E+07,8.56E+05,2.06E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Apr-02 ,-2.37E+06,-1.98E+07,8.59E+05,-1.74E+04,4.42E+05,1.74E+04,,-2.35E+06,-2.03E+07,8.42E+05,2.04E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Apr-03 ,-2.10E+06,-1.97E+07,8.37E+05,-1.20E+05,4.20E+05,8.58E+03,,-1.98E+06,-2.01E+07,8.29E+05,2.02E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Apr-04 ,-1.84E+06,-1.95E+07,8.15E+05,-2.15E+05,3.75E+05,-7.41E+02,,-1.63E+06,-1.99E+07,8.16E+05,2.00E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Apr-05 ,-1.58E+06,-1.93E+07,7.93E+05,-2.97E+05,3.07E+05,-1.00E+04,,-1.29E+06,-1.97E+07,8.03E+05,1.97E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Apr-06 ,-1.33E+06,-1.92E+07,7.70E+05,-3.62E+05,2.21E+05,-1.87E+04,,-9.68E+05,-1.94E+07,7.89E+05,1.94E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Apr-07 ,-1.08E+06,-1.90E+07,7.47E+05,-4.04E+05,1.21E+05,-2.61E+04,,-6.79E+05,-1.91E+07,7.73E+05,1.91E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Apr-08 ,-8.42E+05,-1.88E+07,7.24E+05,-4.21E+05,1.24E+04,-3.20E+04,,-4.21E+05,-1.88E+07,7.56E+05,1.88E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2028-Apr-09 ,-6.06E+05,-1.86E+07,7.01E+05,-4.11E+05,-9.66E+04,-3.58E+04,,-1.95E+05,-1.85E+07,7.37E+05,1.85E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
